meanBusPower,loadPower,time
0,83.8433940272688,2021-08-23 00:00:00
0,157.456776630594,2021-08-23 00:15:00
0,124.006538236604,2021-08-23 00:30:00
0,128.157535181216,2021-08-23 00:45:00
0,171.064982247101,2021-08-23 01:00:00
0,164.246330677123,2021-08-23 01:15:00
0,106.571786855926,2021-08-23 01:30:00
0,110.515952350745,2021-08-23 01:45:00
0,125.195958757526,2021-08-23 02:00:00
0,124.608663504251,2021-08-23 02:15:00
0,117.870342984259,2021-08-23 02:30:00
0,95.6644170768659,2021-08-23 02:45:00
102.256396786636,70.1917170128843,2021-08-23 03:00:00
101.853857543627,70.5942562558933,2021-08-23 03:14:59
99.0598277875327,73.3882860119877,2021-08-23 03:30:00
96.7438150323191,75.7042987672013,2021-08-23 03:45:00
0,64.1262152152964,2021-08-23 04:00:00
101.100215319762,71.3478984797582,2021-08-23 04:15:00
111.739343192293,60.7087706072272,2021-08-23 04:30:00
0,79.8467249960968,2021-08-23 04:45:00
101.295230291307,71.152883508213,2021-08-23 05:00:00
104.381377750818,68.0667360487022,2021-08-23 05:15:00
108.006914425148,64.4411993743724,2021-08-23 05:30:00
90.9029880654939,81.5451257340264,2021-08-23 05:45:00
77.1920927415085,95.2560210580119,2021-08-23 06:00:00
85.350880777442,87.0972330220783,2021-08-23 06:15:00
89.5942923774981,82.8538214220223,2021-08-23 06:29:59
46.6666666666691,98.6868023067206,2021-08-23 06:45:00
0,105.845390884815,2021-08-23 07:00:00
70.6938253071077,101.754288492413,2021-08-23 07:15:00
84.5320818779945,87.9160319215259,2021-08-23 07:30:00
88.6701545027867,83.7779592967337,2021-08-23 07:45:00
47.0000000000121,95.2470312673289,2021-08-23 08:00:00
47.3402942366026,125.107819562918,2021-08-23 08:15:00
55.819772056657,116.628341742863,2021-08-23 08:30:00
23.6119863382721,148.836127461248,2021-08-23 08:45:00
30.4497981783575,141.998315621163,2021-08-23 09:00:00
35.8529479785228,136.595165820998,2021-08-23 09:15:00
38.8903455477959,133.557768251724,2021-08-23 09:30:00
39.2484967881431,133.199617011377,2021-08-23 09:45:00
43.9748331720538,128.473280627467,2021-08-23 10:00:00
37.884816830227,134.563296969293,2021-08-23 10:15:00
27.8937936030013,144.554320196519,2021-08-23 10:30:00
29.2533227125504,143.19479108697,2021-08-23 10:45:00
35.791209555241,136.656904244279,2021-08-23 11:00:00
17.7288100988717,154.719303700649,2021-08-23 11:15:00
54.7976415273925,117.650472272128,2021-08-23 11:30:00
42.7805283269567,129.667585472564,2021-08-23 11:45:00
46.224086765641,126.224027033879,2021-08-23 12:00:00
26.606191599232,145.841922200288,2021-08-23 12:14:59
59.7596756804393,112.688438119081,2021-08-23 12:30:00
29.6216193248702,142.82649447465,2021-08-23 12:45:00
58.9208994320336,113.527214367487,2021-08-23 12:59:59
54.9152059423671,117.532907857153,2021-08-23 13:15:00
55.885897774022,116.562216025498,2021-08-23 13:30:00
52.3012088904417,120.146904909079,2021-08-23 13:45:00
59.917219440793,112.530894358727,2021-08-23 14:00:00
33.3676557441125,139.080458055408,2021-08-23 14:15:00
40.9056858895183,131.542427910002,2021-08-23 14:30:00
47.8695155774048,124.578598222116,2021-08-23 14:45:00
37.6892352555955,132.984294252634,2021-08-23 15:00:00
23.8719024565876,146.801627051642,2021-08-23 15:15:00
26.9764285726954,143.697100935535,2021-08-23 15:30:00
0,170.67352950823,2021-08-23 15:45:00
42.730027652246,127.943501855984,2021-08-23 16:00:00
66.1105698422073,104.562959666023,2021-08-23 16:15:00
102.894763896996,67.7787656112399,2021-08-23 16:30:00
86.6666666666667,70.7160958087029,2021-08-23 16:45:00
120.4063304287,50.2671990795296,2021-08-23 17:00:00
122.074636047615,48.598893460615,2021-08-23 17:15:00
138.104037519861,32.5694919883691,2021-08-23 17:30:00
137.838101258567,32.8354282496485,2021-08-23 17:45:00
78.0000000000001,26.3664799235326,2021-08-23 18:00:00
144.049621107287,26.6239084009427,2021-08-23 18:15:00
146.693061652513,23.9804678557169,2021-08-23 18:30:00
138.488417290332,32.1851122178977,2021-08-23 18:45:00
143.311970291312,27.3615592169182,2021-08-23 19:00:00
97.3333333333333,32.583717166191,2021-08-23 19:15:00
142.659787625124,28.0137418831059,2021-08-23 19:30:00
132.219716465943,38.4538130422867,2021-08-23 19:45:00
141.315629357205,29.3579001510246,2021-08-23 20:00:00
131.782501292909,38.8910282153159,2021-08-23 20:15:00
68.6113865680063,29.342520646898,2021-08-23 20:30:00
136.561043858607,34.1124856496229,2021-08-23 20:45:00
136.775416350632,33.898113157598,2021-08-23 21:00:00
125.778147211472,44.895382296758,2021-08-23 21:15:00
138.773643995391,31.8998855128389,2021-08-23 21:30:00
137.013666698542,33.6598628096878,2021-08-23 21:45:00
144.260660582628,28.1874532168929,2021-08-23 22:00:00
138.980392535417,33.4677212641054,2021-08-23 22:15:00
0,30.5562100415495,2021-08-23 22:30:00
137.931417061588,34.5166967379322,2021-08-23 22:45:00
143.460731889782,28.9873819097388,2021-08-23 23:00:00
147.06719398135,25.3809198181708,2021-08-23 23:15:00
161.624109269078,10.8240045304427,2021-08-23 23:30:00
165.613553997729,6.83455980179125,2021-08-23 23:45:00
