avgPower,duration
53.9999997467418,6000
340.547242773697,500
102.921021791835,820
154.413213380859,540
100.311973704012,840
163.358813043522,520
87.5837813664439,960
205.699021113761,420
341.01556436552,480
338.075405076872,540
53.8205977597396,6020
340.951744008898,520
219.648506371979,380
109.036066380413,800
111.781436904665,800
179.737185064072,500
87.082312166348,960
100.283204782634,840
179.260010919432,40
22.5584661802569,620
221.597183596922,40
286.627476819604,40
7.02005799162722,1440
9.94613197710484,640
167.785998221891,280
348.933712039774,700
344.68085074149,940
41.8207341476213,700
344.431160997148,400
231.09968031688,360
343.952294271581,240
301.527143653307,280
317.607604475134,260
326.691171365964,260
349.313378186356,580
53.8205976579889,6020
47.5131248346015,900
132.579831660939,640
255.027911520863,260
333.784702958953,300
183.144986303897,460
323.16301254746,260
280.921200262967,300
275.339421024696,300
220.576228453418,300
344.680851007082,940
250.236526735727,360
185.620399888601,480
214.880818842347,420
180.210838338074,500
262.745407254065,340
217.080175959454,420
177.712328311131,40
22.43740840037,340
188.13575661713,60
205.695373642271,20
6.92771050521486,760
337.8305095848,320
331.852907907925,720
215.999998698905,1500
44.8443920277538,980
129.312573825966,640
347.002483731073,240
259.038156084785,320
228.001464315195,360
195.81463651223,420
232.99582897087,360
298.692058191029,280
33.5068286362858,3420
213.157894211196,1520
223.279986046158,380
139.043243054544,600
151.266591606087,560
49.3256581981942,1720
96.1110430431944,860
124.997204208692,660
161.533421156639,420
254.293826014294,380
327.719277804162,80
213.157894135018,1520
252.038517596775,360
60.3928587528007,1380
52.5030524054962,1860
188.38785340358,480
98.447651318524,920
50.3045228476384,1800
282.592089991861,320
226.308576591745,400
3.86938699991988,14820
213.157894258766,1520
249.044150978542,360
117.116021903366,660
201.74690669023,500
178.723437894323,500
106.72455338554,820
142.231047616538,620
50.1661494806045,1500
267.991986072712,380
139.011633049837,380
213.157893356011,1520
64.0699185223204,780
109.85109885193,720
338.999756145818,260
277.346934777225,300
230.733302444402,360
208.540688478748,400
275.774235074868,300
313.944661138001,260
310.3057351279,300
213.157893797652,1520
334.795793975937,560
325.513162154163,260
47.9646406361891,720
345.772841992691,240
325.182751760341,260
85.5583583637998,520
341.580121434125,640
210.389596507667,1540
74.6282231045697,1120
87.7348212285767,960
323.139057444703,260
233.82623345035,360
191.262589529441,440
297.529757147069,40
334.785733034692,320
213.157894806737,1520
27.1998565797499,260
232.087851387705,360
190.632597312742,440
240.674182767845,60
228.637083461951,80
14.582049563249,420
223.728671277148,100
182.366016495774,40
278.060861351826,40
203.690021934565,340
332.506207504127,600
16.981132078868,19080
319.354801890022,260
248.152425886587,340
301.066100709371,280
50.1869671645366,200
202.197841854094,60
28.5316995822024,300
303.297145259945,40
137.538500272449,40
196.876812857101,40
93.5571434701799,500
345.662665750628,700
213.157894662987,1520
349.562332432098,800
343.669197370219,800
319.356790185993,260
136.538656603741,620
209.323395573902,380
220.745925728803,400
2.45702769548706,12620
213.157894745543,1520
342.345820084294,280
264.583595562443,460
105.492452530574,940
104.146801947146,140
345.164701667235,880
213.157894718798,1520
57.1118294467905,220
349.656237682456,280
160.800025935301,420
344.81723885349,440
207.279090392358,1480
215.999999756291,1500
90.5550322270029,700
83.9364836811826,1000
264.106285552905,320
123.968790473201,480
190.479148081296,440
