meanBusPower,loadPower,time
1210.02698762002,7.36096927718392,2021-08-23 00:00:00
1102.30691711414,63.4422975145139,2021-08-23 00:07:30
994.387180404103,132.85079009225,2021-08-23 00:15:00
884.777699348276,152.13893475936,2021-08-23 00:22:30
785.897851376986,143.171626503818,2021-08-23 00:30:00
688.936680880765,125.277169777845,2021-08-23 00:37:30
602.325321354359,119.799841707394,2021-08-23 00:45:00
518.190013675205,131.50686331586,2021-08-23 00:52:30
443.846871552277,151.677376177435,2021-08-23 01:00:00
372.537427519611,170.148689651471,2021-08-23 01:07:30
310.462502797342,174.626492443293,2021-08-23 01:15:00
251.978922410509,159.403949672305,2021-08-23 01:22:30
202.172215088665,132.262520036109,2021-08-23 01:30:00
156.514498346803,108.799375718129,2021-08-23 01:37:29
118.976008821361,103.353282205769,2021-08-23 01:45:00
86.1441809509445,111.54985587082,2021-08-23 01:52:30
60.7850881100082,120.639501194294,2021-08-23 02:00:00
40.064261132649,124.793657811297,2021-08-23 02:07:30
25.141257146724,125.208080877813,2021-08-23 02:15:00
13.8579658884012,124.288994002948,2021-08-23 02:22:30
6.4929968857767,121.897368610974,2021-08-23 02:30:00
2.07105355817302,116.682772382176,2021-08-23 02:37:30
0.383068623044027,107.795541006248,2021-08-23 02:45:00
0.015825387897819,93.9704375496505,2021-08-23 02:52:30
1.41360337213684e-08,80.0770623163227,2021-08-23 03:00:00
1.43191080290612e-08,71.2178278592058,2021-08-23 03:07:30
1.42956669598113e-08,69.5153027470041,2021-08-23 03:14:59
1.42893361093053e-08,70.4061554824533,2021-08-23 03:22:30
1.44259074732393e-08,71.3881011218053,2021-08-23 03:30:00
1.44772087364394e-08,73.9746240831408,2021-08-23 03:37:30
1.44407245435059e-08,76.4777149191665,2021-08-23 03:45:00
1.44479358431738e-08,74.0792514780113,2021-08-23 03:52:30
1.44837657181722e-08,68.0318363859607,2021-08-23 04:00:00
1.43783797085783e-08,65.7123849785875,2021-08-23 04:07:30
1.41292055614692e-08,68.8127207471641,2021-08-23 04:15:00
1.39969010468545e-08,69.4911130476345,2021-08-23 04:22:30
1.422145206002e-08,64.7875252025792,2021-08-23 04:30:00
1.49585542117949e-08,63.1104798007326,2021-08-23 04:37:30
1.72379425196232e-08,70.1083359400776,2021-08-23 04:45:00
2.47243549713153e-08,78.2259885658985,2021-08-23 04:52:30
4.60090311757897e-08,77.6491364585852,2021-08-23 05:00:00
4.19941298899968e-08,71.4201863467569,2021-08-23 05:07:30
2.87499195152594e-08,68.0233995537846,2021-08-23 05:15:00
2.78703642299787,67.5515915699016,2021-08-23 05:22:30
6.77488970770354,66.2247356947429,2021-08-23 05:30:00
7.12303546281488,65.8532640855567,2021-08-23 05:37:30
4.5427729778359,71.3680545397566,2021-08-23 05:45:00
3.28353726066217,82.2164721218736,2021-08-23 05:52:30
5.5606834956889,91.0823558011824,2021-08-23 06:00:00
57.6222127416116,94.2835434872008,2021-08-23 06:07:29
125.898577102704,91.9524585075968,2021-08-23 06:15:00
144.035956339329,86.7086713949704,2021-08-23 06:22:30
135.735750159292,82.9261082186818,2021-08-23 06:29:59
119.424733144299,84.3736859752026,2021-08-23 06:37:30
95.6301428292276,90.9332719779309,2021-08-23 06:45:00
65.2464351304146,98.6330392227065,2021-08-23 06:52:30
35.1448040829909,103.381866110663,2021-08-23 07:00:00
12.2466368242338,105.651488441435,2021-08-23 07:07:30
3.56335838491399,105.183168212291,2021-08-23 07:15:00
1.22469675666263,100.526254333819,2021-08-23 07:22:30
1.5805710209675,93.6229332556226,2021-08-23 07:30:00
4.66816096941073,88.2700138857389,2021-08-23 07:37:30
14.0842018253673,85.7723645092899,2021-08-23 07:45:00
22.3442586569054,83.9907110216852,2021-08-23 07:52:30
16.7486553828902,86.1472426615987,2021-08-23 08:00:00
11.3640028456775,98.1537940213804,2021-08-23 08:07:30
10.9763790392723,114.329217871852,2021-08-23 08:15:00
9.23687099534013,122.490317373904,2021-08-23 08:22:30
9.05524000620141,119.737881993195,2021-08-23 08:30:00
10.0505591416333,120.201317501214,2021-08-23 08:37:30
17.3959563777399,132.50073626496,2021-08-23 08:45:00
42.9626170565752,147.016680819968,2021-08-23 08:52:30
59.9733314046668,149.247855724949,2021-08-23 09:00:00
49.9108189930214,142.022964714079,2021-08-23 09:07:30
29.6129533265704,136.968546425246,2021-08-23 09:15:00
14.9833712456057,136.394262981795,2021-08-23 09:22:30
11.0537225781922,135.715511408824,2021-08-23 09:30:00
8.93282456835356,133.827597908505,2021-08-23 09:37:30
7.5332863365404,133.129376267648,2021-08-23 09:45:00
8.98827198457776,132.588253885011,2021-08-23 09:52:30
30.4645243164132,130.574047840916,2021-08-23 10:00:00
64.0182164173016,129.267180169345,2021-08-23 10:07:30
71.3347401281492,131.111908742324,2021-08-23 10:15:00
54.2962013778629,134.879738592375,2021-08-23 10:22:30
33.3883044505906,139.229735050849,2021-08-23 10:30:00
18.4229677404114,144.820152144905,2021-08-23 10:37:30
13.581281660781,147.179027460809,2021-08-23 10:45:00
13.2361387720395,141.658293440905,2021-08-23 10:52:30
12.535202432647,135.243048100855,2021-08-23 11:00:00
21.5751762497675,139.799967010289,2021-08-23 11:07:30
51.6981050809512,150.766130988974,2021-08-23 11:15:00
76.2741120983801,149.87466591229,2021-08-23 11:22:30
77.7447494602924,133.864139535291,2021-08-23 11:30:00
65.0266006687015,120.921188369054,2021-08-23 11:37:30
44.4651398516339,122.870599993211,2021-08-23 11:45:00
25.8785956454872,127.638859018753,2021-08-23 11:52:30
