meanBusPower,loadPower,time
247.655174749806,7.36096927718392,2021-08-23 00:00:00
191.750882323349,63.4422975145139,2021-08-23 00:07:30
72.422243885682,132.85079009225,2021-08-23 00:15:00
49.6153514426203,152.13893475936,2021-08-23 00:22:30
58.2499869085821,143.171626503818,2021-08-23 00:30:00
65.5391006275923,125.277169777845,2021-08-23 00:37:30
70.8548802784723,119.799841707394,2021-08-23 00:45:00
74.6806158068855,131.50686331586,2021-08-23 00:52:30
76.6853433014188,151.677376177435,2021-08-23 01:00:00
77.6177405002054,170.148689651471,2021-08-23 01:07:30
80.5606289411421,174.626492443293,2021-08-23 01:15:00
88.7075622273041,159.403949672305,2021-08-23 01:22:30
98.8423434286241,132.262520036109,2021-08-23 01:30:00
108.393719965425,108.799375718129,2021-08-23 01:37:29
115.873289852424,103.353282205769,2021-08-23 01:45:00
121.961167320927,111.54985587082,2021-08-23 01:52:30
126.127977365055,120.639501194294,2021-08-23 02:00:00
128.752576113678,124.793657811297,2021-08-23 02:07:30
129.852784746286,125.208080877813,2021-08-23 02:15:00
130.904185925783,124.288994002948,2021-08-23 02:22:30
133.288460980234,121.897368610974,2021-08-23 02:30:00
138.510407535627,116.682772382176,2021-08-23 02:37:30
146.66032323432,107.795541006248,2021-08-23 02:45:00
156.263435901514,93.9704375496505,2021-08-23 02:52:30
164.221531813148,80.0770623163227,2021-08-23 03:00:00
170.810081796142,71.2178278592058,2021-08-23 03:07:30
175.455795373736,69.5153027470041,2021-08-23 03:14:59
178.581011899959,70.4061554824533,2021-08-23 03:22:30
179.913973409341,71.3881011218053,2021-08-23 03:30:00
179.575858221302,73.9746240831408,2021-08-23 03:37:30
177.596067656992,76.4777149191665,2021-08-23 03:45:00
173.794620756017,74.0792514780113,2021-08-23 03:52:30
168.502078117915,68.0318363859607,2021-08-23 04:00:00
161.23729950241,65.7123849785875,2021-08-23 04:07:30
152.632004788995,68.8127207471641,2021-08-23 04:15:00
141.903894458238,69.4911130476345,2021-08-23 04:22:30
129.985847669314,64.7875252025792,2021-08-23 04:30:00
115.794405622988,63.1104798007326,2021-08-23 04:37:30
100.563606824692,70.1083359400776,2021-08-23 04:45:00
82.9089069317662,78.2259885658985,2021-08-23 04:52:30
64.3326353206824,77.6491364585852,2021-08-23 05:00:00
46.8711121549603,71.4201863467569,2021-08-23 05:07:30
36.4975675471654,68.0233995537846,2021-08-23 05:15:00
52.7574342658226,67.5515915699016,2021-08-23 05:22:30
83.1575044015904,66.2247356947429,2021-08-23 05:30:00
83.9254510642555,65.8532640855567,2021-08-23 05:37:30
56.91073426289,71.3680545397566,2021-08-23 05:45:00
54.6889533978296,82.2164721218736,2021-08-23 05:52:30
76.883102850783,91.0823558011824,2021-08-23 06:00:00
118.366882066777,94.2835434872008,2021-08-23 06:07:29
151.165587274872,91.9524585075968,2021-08-23 06:15:00
163.155650556865,86.7086713949704,2021-08-23 06:22:30
171.118397144559,82.9261082186818,2021-08-23 06:29:59
168.48278919099,84.3736859752026,2021-08-23 06:37:30
164.259907914678,90.9332719779309,2021-08-23 06:45:00
