avgPower,duration
51.1041007066978,6340
250.402384392425,680
114.047618742306,740
75.8028502051469,1100
105.327572389213,800
326.717626087041,260
80.8465674151813,1040
95.9928765197566,900
88.9605820083966,1840
76.7061843451727,2380
35.920177218806,9020
285.959527233269,620
139.110720702253,600
96.9209478936983,900
47.0658681703847,1900
74.8904937766964,1200
189.997771999303,440
89.6147787419279,940
3.44730790229048,2080
22.5584661802658,620
147.731455731791,60
15.923748712199,720
252.722087698562,40
5.21764300438428,1220
34.5441761045068,1360
348.933712039775,700
28.2229964990084,11480
292.745139033348,100
237.538731722171,580
92.4398721267532,900
63.4988850962918,1300
45.3911829155515,1860
103.222471454419,800
46.6701673379957,1820
337.669598913477,600
51.1041006152992,6340
47.5131248346013,900
63.3217106440308,1340
82.8840712442898,800
111.261567652984,900
105.308367124739,800
61.781164163485,1360
44.3559789888896,1900
43.0217845351087,1920
24.3282604911873,2720
49.5412843962103,6540
166.82435115715,540
60.2012107746826,1480
65.398510082453,1380
61.716040526738,1460
68.7180295895249,1300
56.2800456191189,1620
177.712328311356,40
127.145314268622,60
188.135756617717,60
34.2825622737116,120
131.626499599073,40
77.218402190819,1400
341.334419562437,700
51.5923563771276,6280
27.4671901169991,1600
57.4722550337631,1440
84.9802000974057,980
52.4634240171715,1580
62.1822175405077,1320
45.1879930412837,1820
57.4510263215844,1460
85.3405880545799,980
95.4944616134155,1200
51.5923565606715,6280
98.6585984855134,860
58.7506660793839,1420
108.601655512062,780
54.3847000646748,1560
243.104402991608,340
44.3538466546971,1860
53.0031538170227,1280
60.3947836783945,1600
9.85621888132789,2660
51.2658226400686,6320
110.651056505903,820
64.109342368358,1300
59.5461448013554,1640
105.146708876417,860
47.6693890594926,1900
50.3045228476388,1800
122.201984861346,740
78.0374402040496,1160
24.0942501423591,2380
51.1041008317546,6340
59.7705962348503,1500
57.6840107882263,1340
57.9732490489164,1740
49.6453994150904,1800
59.9411875179072,1460
84.7915860790895,1040
85.5104820692132,880
57.2117723076579,1780
23.7947840355576,2220
51.1041006153212,6340
64.069918522323,780
58.1564640980816,1360
65.7760720879945,1340
101.468390772156,820
55.3759925866566,1500
67.271189831853,1240
78.0493118136418,1060
86.835757336043,940
119.348359664577,780
51.1041007212034,6340
292.946319728945,640
88.1598147500857,960
18.3694368393912,1880
63.8349862140352,1300
325.182751760341,260
41.1947651381265,1080
341.580121434125,640
35.9201750135037,9020
88.9187339118294,940
46.277707900788,1820
64.6278114889407,1300
57.6557835904975,1460
46.7530774405301,1800
13.2235447620922,900
97.3922132464559,1100
51.5923567048154,6280
4.1116062271715,1720
57.2271414380643,1460
99.8551700209592,840
240.6741827679,60
228.63708346233,80
306.223040828124,20
14.1600424859076,1580
6.63149150896173,1100
185.373907567997,60
53.272774967501,1300
216.851874459213,920
16.4467005109037,19700
60.1682960082651,1380
57.7889210968761,1460
102.80305877881,820
55.7632968494889,180
20.2197841854081,600
5.70633991644342,1500
303.297145259973,40
68.7692501364937,80
5.39388528376435,1460
35.4383119204953,1320
134.424370014133,1800
35.9999999875266,9000
349.562332432099,800
335.287021824604,820
44.6412717464292,1860
103.236545236975,820
71.0204377840008,1120
64.9252722731774,1360
20.1348633227574,1540
18.2022471917538,17800
88.7563237255578,1080
93.6218876605568,1300
123.953631723433,800
20.2507670453425,720
286.551827799214,1060
35.999999996953,9000
5.81694559180261,2160
139.862495072983,700
120.600019451477,560
140.481097310681,1080
348.605742931418,880
28.2229964838339,11480
36.0162059993758,1760
48.2393584374614,1740
54.8792281668374,1540
28.8859317607461,2060
51.7350772566615,1620
